x1,y1,z1,x2,y2,z2
1,-168,-195,245,-2,39 
1,-168,-195,245,-2,40 
1,-168,-194,245,-2,40 
2,-168,-195,245,-3,39 
2,-167,-196,245,-2,38 
2,-167,-196,246,-1,38 
1,-167,-196,245,-2,38 
2,-167,-196,245,-1,38 
1,-166,-196,245,-2,38 
2,-166,-196,245,-2,38 
2,-167,-196,245,-1,38 
2,-166,-196,245,-2,38 
2,-166,-196,245,-2,38 
2,-166,-197,245,-1,38 
2,-166,-196,246,-1,38 
2,-166,-196,245,-2,38 
2,-166,-196,245,-2,38 
2,-166,-196,245,-2,37 
0,-168,-195,246,-2,39 
1,-168,-194,246,-2,41 
1,-169,-193,245,-3,41 
1,-169,-194,245,-2,41 
1,-169,-193,245,-3,41 
1,-168,-194,245,-2,41 
1,-169,-194,245,-2,41 
1,-169,-194,245,-2,42 
2,-169,-194,245,-3,41 
2,-169,-193,245,-2,42 
2,-169,-193,245,-2,42 
1,-169,-194,245,-3,42 
1,-169,-194,245,-3,41 
1,-169,-194,245,-2,41 
1,-169,-194,245,-3,41 
1,-169,-194,245,-2,41 
2,-169,-194,245,-2,41 
2,-169,-194,245,-3,41 
1,-169,-194,245,-2,42 
1,-169,-194,245,-2,41 
2,-169,-193,245,-3,41 
1,-169,-194,245,-2,41 
2,-169,-194,245,-2,41 
1,-169,-194,245,-2,41 
2,-169,-194,245,-2,41 
1,-169,-194,245,-2,41 
2,-169,-194,245,-3,41 
1,-169,-194,245,-2,41 
1,-168,-194,245,-2,41 
2,-169,-194,245,-2,41 
2,-169,-194,245,-2,41 
2,-168,-195,245,-2,40 
1,-168,-194,245,-2,40 
2,-168,-195,244,-2,40 
1,-168,-194,245,-2,40 
1,-169,-194,245,-2,41 
1,-169,-194,246,-2,40 
2,-169,-194,245,-2,40 
1,-168,-194,246,-2,40 
1,-168,-194,245,-2,40 
2,-167,-195,245,-2,40 
1,-167,-195,245,-2,40 
1,-168,-195,245,-2,40 
1,-168,-195,245,-2,40 
2,-168,-194,245,-2,41 
1,-168,-195,245,-2,40 
1,-168,-195,245,-2,40 
1,-168,-195,245,-2,40 
1,-168,-195,245,-3,40 
2,-168,-195,245,-2,40 
1,-168,-194,245,-2,40 
1,-168,-194,246,-2,40 
2,-168,-195,245,-2,41 
2,-168,-195,245,-2,40 
1,-168,-195,245,-2,40 
1,-167,-195,245,-2,40 
1,-168,-194,245,-2,40 
1,-168,-195,246,-2,40 
2,-167,-195,246,-2,40 
2,-168,-195,245,-2,40 
2,-168,-195,245,-2,40 
2,-168,-195,245,-2,40 
1,-168,-195,245,-2,40 
1,-168,-195,245,-2,40 
1,-168,-195,245,-2,40 
1,-168,-195,245,-2,40 
1,-168,-195,246,-2,40 
1,-168,-195,246,-2,40 
1,-167,-195,246,-2,40 
1,-167,-195,245,-2,40 
2,-168,-195,246,-2,40 
1,-167,-195,246,-2,41 
2,-167,-195,246,-2,40 
1,-167,-195,245,-2,40 
1,-167,-195,245,-2,40 
1,-167,-195,245,-2,40 
2,-168,-195,245,-2,40 
2,-168,-194,245,-2,40 
2,-168,-195,246,-3,40 
2,-167,-195,245,-2,40 
1,-167,-195,245,-2,39 
1,-167,-195,245,-2,39 
1,-168,-194,246,-2,40 
2,-168,-195,245,-2,40 
1,-168,-195,245,-2,40 
1,-168,-195,245,-3,41 
1,-167,-197,245,-2,38 
2,-166,-196,246,-2,38 
